blockNumber,timeStamp,hash,nonce,blockHash,transactionIndex,from,to,value,gas,gasPrice,isError,txreceipt_status,contractAddress,gasUsed,tx_type,weiSpentOnGas
13162033,1630796083,0x2b6c2a5be07eb649f07afe0e1a55c2c90d91cf5ddfabe2a3d1fed1fb7c85d097,367,0xf3a93476ab45ec02b807888066543a5eb063baf0b8040884a5bdb4c1d726948b,66,0x6AFB7c9a6E8F34a3E0eC6b734942a5589A84F44C,0x2923a58c1831205c854dbea001809b194fdb3fa5,0,1558858,86000000000,0,1,,844629,transaction,7.2638094e+16
13167315,1630866674,0x42f02ae17d96dd5cfd175a517ccc8ab6ab6d5b9e9bcee5ec013f0c94ffc4cf06,368,0x9401810fdaf784f590400f3c0b671a1d259911e5565d36295cf50f4057bc847a,110,0x6AFB7c9a6E8F34a3E0eC6b734942a5589A84F44C,0x16388463d60ffe0661cf7f1f31a7d658ac790ff7,0,8119322,89296680249,0,1,,3423510,transaction,3.05708077799254e+17
13168056,1630876412,0x8d89190a8a0998cbfcf40893aa14361b3822989609f78ab75c9456b9e7b88165,369,0x85234e80c13d7a9232c478981514022776156f7577ea18534cad5ed19863009d,73,0x6AFB7c9a6E8F34a3E0eC6b734942a5589A84F44C,0x4a1cfe8da44753067ae462a06ce5e13d0d561325,0,601224,97826936966,0,1,,365155,transaction,3.572199516781973e+16
13175354,1630973386,0xc5992b4af3d36cbddc16274de142c42d8e1fcbb3c7c2531fc338d4ed6284205b,370,0x3000a724ccdfe097bce11d9e4387b58360c3a9335d45b931d5ff1c9dddb0d5d0,144,0x6AFB7c9a6E8F34a3E0eC6b734942a5589A84F44C,,0,5062437,78000000000,0,1,0x60a3d5beeeed797ccff709ee78a42e2cf67235b7,4602216,transaction,3.58972848e+17
13185562,1631110035,0x4c90dae6c9236697d41ebac0c1d211c8c57cad2387c1feea9693fd0f1971cef4,371,0x2558e739e151d2c4b3040ce046404f1dbeb245970d58e364cf9692ddaabb8d3b,162,0x6AFB7c9a6E8F34a3E0eC6b734942a5589A84F44C,0x16388463d60ffe0661cf7f1f31a7d658ac790ff7,0,116256,119989597052,0,1,,114999,transaction,1.3798683671382948e+16
13193695,1631219084,0xc049d8b6cb47eb247c850767ac2cfc2abb0b465365b0df9406c7b2bebc387263,372,0x49972f4362cc72b16b5d7b1f29abfc12ec01d186f0f17752e3fcc0e703eed3dc,132,0x6AFB7c9a6E8F34a3E0eC6b734942a5589A84F44C,0x2923a58c1831205c854dbea001809b194fdb3fa5,0,1494718,144603776909,0,1,,796909,transaction,1.1523605125277429e+17
13194642,1631231511,0x24056737015ed5b9119a5618db6a1b4ea22c670472c0bbc4553ed6a79fea7de2,373,0xd526cbfe03acc3d53dcfa7f018cf271dbb73412f9d49a413ba147f706e494125,216,0x6AFB7c9a6E8F34a3E0eC6b734942a5589A84F44C,0x16388463d60ffe0661cf7f1f31a7d658ac790ff7,0,8119961,85469701064,0,1,,2762699,transaction,2.3612705765981174e+17
13198932,1631289257,0xeaccf2c1ff43a24cfbfd208af2a27d81628f2b26383f754844171d443729186c,374,0x5ce65aea4b3994ea5b6cb65e93f05db3ecb76b50677d3bed849aff26e90b1e74,279,0x6AFB7c9a6E8F34a3E0eC6b734942a5589A84F44C,0x16388463d60ffe0661cf7f1f31a7d658ac790ff7,0,5096438,85305910098,0,1,,3804446,transaction,3.245417284486957e+17
13200668,1631312342,0x80fe641d64707f88327b3bfe1078053c14bf139833f6d894472dcfbc3f01601c,375,0xbdad37ef0bea86e61367209e177f90e8684279a7a5b0efadc94fa266b5967785,193,0x6AFB7c9a6E8F34a3E0eC6b734942a5589A84F44C,0x16388463d60ffe0661cf7f1f31a7d658ac790ff7,0,121944,95482177990,0,1,,120619,transaction,1.151696482697581e+16
13200709,1631312826,0x27186c6ead8a3b67a3711745e970b98689099caa7cd673be5707d8513ae92d1c,376,0x533bd2dc5790d44dfa7f1894258c96c06cd24c0400c07465b9fd33921a08bfec,31,0x6AFB7c9a6E8F34a3E0eC6b734942a5589A84F44C,0x16388463d60ffe0661cf7f1f31a7d658ac790ff7,0,2095945,94000000000,0,1,,1542897,transaction,1.45032318e+17
