blockNumber,timeStamp,hash,nonce,blockHash,transactionIndex,from,to,value,gas,gasPrice,isError,txreceipt_status,contractAddress,gasUsed,tx_type,weiSpentOnGas
13038581,1629147761,0xece00db63c4908ee32c20d8be0b28e100fc00cc3a8e5d87d5bd9f7e91a6d9b61,291,0x5d5b4b162481eac29118b90663e5d580903cf16171c3e2fbeebc6f6ca174d805,320,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x29d23b73dd0ed729f516bb55622765af102f0e33,0,50710,48747091909,0,1,,33593,transaction,1.63756E+15
13038601,1629148072,0x4f467a1d8a6614ad018151a0f8e10dc2110c38e4b11ccce2ba80f024be5d61d8,292,0x5be38f3d8085935d1fbec9e2d7f7e1c49b3c21c5197e5ef5cba813a5aed3488e,76,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0xa2a182c5b5ea1a3c90cb5bb718f9e62dbe052927,0,1028386,47991968914,0,1,,605351,transaction,2.91E+16
13039345,1629157961,0xbda4fa8ff079192b39a1161da9a7545649d5489b68fc8cd03ba53142b6489c52,293,0xb9ed20dc6dd81b63dc47adb327200386acdece7247f329973bebea7be2062ef0,60,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x29d23b73dd0ed729f516bb55622765af102f0e33,0,1281540,37000000000,0,1,,747814,transaction,2.77E+16
13039893,1629165144,0x60419af03593ba4e75a40222ed36f7d1cb8607bee9c26915ef5f78282075b0ed,294,0xc0a00f0e5845ff8e527f401735a95ea0616d48c6a3b79f127107cb5d72a46815,384,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x92be6adb6a12da0ca607f9d87db2f9978cd6ec3e,5E+16,709548,52453278579,0,1,,516036,transaction,2.71E+16
13043243,1629210314,0x075be93ec81a3dffc51b4f8883359f432dd3b8356a73226716a41f4d94a0d303,295,0xc20024dbe80f623b6d880f07e8f8d20a05ba11f84e328e0a190e54e1225a2a33,59,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,46364,58792895035,0,1,,46364,transaction,2.72587E+15
13043246,1629210336,0x010b0b05f18ab24d07958b4831e174593cecbf895ca1bedf8dd66cba652cb152,296,0xa2982e18dd7b0674f196321e6931494bdc5c4077e3c8493405a5e3ae9ee8ea3b,202,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x41c84c0e2ee0b740cf0d31f63f3b6f627dc6b393,0,162341,52006364237,0,1,,150683,transaction,7.83647E+15
13043262,1629210557,0x8fb354675de493b76b1ab9191696c941833ae90a204da12e2e065e2bad218f7e,297,0xde4a789e45c1f2be81673d34e638abfac90740b56843e9fe31f957572cabdcf8,60,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0xab1c342c7bf5ec5f02adea1c2270670bca144cbb,0,101744,54933208755,0,1,,100763,transaction,5.53523E+15
13043273,1629210696,0x7e56fb7feb44ea39064dd021fb6fc4ae9d10c0962a7155f91874120c434c1fff,298,0x1e04b27f064d7be56f2e7934c619fd7dba861e7936e6bf071a2d5fa6f7061056,81,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x8e595470ed749b85c6f7669de83eae304c2ec68f,0,348345,57593889370,0,1,,338565,transaction,1.95E+16
13051147,1629315558,0xdfd4cfd96e01236cabc76de856f80e14a97a8b13c325faf8f85634000a681daf,299,0xe188bc1e19cf2fdc59c18646de64b7ca8fcbc677b67a6743da83f26d9c60d156,84,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0xe14d13d8b3b85af791b2aadd661cdbd5e6097db1,0,109366,55000000000,0,1,,84691,transaction,4.65801E+15
13051249,1629316827,0x45644a4326e9429a817f325b94bad0d9eed61fc9770574612d3b5db361d6aea1,300,0x892604e97175ec7c6f8a18ad7486572591c5725a3ea395839dfd2fcc8d739db7,135,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x6b175474e89094c44da98b954eedeac495271d0f,0,52020,43039779101,0,1,,46458,transaction,1.99954E+15
13051524,1629320402,0xdbd5b472e0e2a250b501ca02a62c3996e19c297ad53534598497e2e79ce9ec71,301,0xa6ae91929ec52d7e3526b3f2befb6a2bea48e19e10c06ad802e549f981ed0ee9,367,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0xe14d13d8b3b85af791b2aadd661cdbd5e6097db1,0,117949,36474532955,0,1,,91450,transaction,3.3356E+15
13051559,1629320967,0xa078eeb15274a496aeab7a4b00493677b4f3d0382fb3d1431afc41b07416e42a,302,0x0a4947b583a7e8d4dd51cd3b386c48c793e7eac83764008cfc81894064893943,139,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,0,242020,38971586379,0,1,,184800,transaction,7.20195E+15
13051657,1629322326,0x91238b416636944d130c176d9c361bf5b266f088f65096bf2b76452c05cb0e7e,303,0x0f18f6fba85b1e2708a00558c346403afb14969b703ae896d48052ff6b323d2e,48,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b,0,122020,42128466565,0,1,,98554,transaction,4.15193E+15
13051799,1629324240,0x229b3c5df158a8e6a1d1f08109d026e42614d349dc9790a8445031c545bcd47f,304,0x2c33dcb5fd5b6d8a52f7f0a1ec83cda27f036255174f44c9604fc70cc1e5381a,165,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x39aa39c021dfbae8fac545936693ac917d5e7563,0,432020,32085578295,0,1,,346635,transaction,1.11E+16
13052153,1629329084,0x78bdd7a4acb248f84e028352b91c35412324f39698946f9ea5a0541d0d4c73a3,305,0x5406a622aea8e2c6effcf22a0874ff5f70c4db6d7f794726b008ef56998e9875,28,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x16388463d60ffe0661cf7f1f31a7d658ac790ff7,0,5000000,47549575879,0,1,,417878,transaction,1.99E+16
