blockNumber,timeStamp,hash,nonce,blockHash,transactionIndex,from,to,value,gas,gasPrice,isError,txreceipt_status,contractAddress,gasUsed,tx_type,weiSpentOnGas
13040789,1629177144,0x11a8c0f51f6849c13e4ef015d701039439326ba2702cfa7fd95536e6259ee6aa,148,0xf6342ec5999ae9179e2bee2f5de4ee1428a8fc4e59ebb1b7cd80dd42e2dc7c08,94,0x1F93b58fb2cF33CfB68E73E94aD6dD7829b1586D,0xe1aafdb0b523574452f4102b0f40e1d00a6c2de7,0,481293,42000000000,0,1,,314295,transaction,1.320039e+16
13041014,1629180350,0x612e1a6ca0885c2eed5be147a9a4b5ebcdf1ac8aaa64a6d76c2e7bfb9a47b44d,149,0x98586688fc49d45dd375a5334852f5142b93bf2cb113cea5de32a8a2bc537230,93,0x1F93b58fb2cF33CfB68E73E94aD6dD7829b1586D,,0,6214334,44000000000,0,1,0x67130f180a0f1954bf7524e87035a2f8504c873c,5649395,transaction,2.4857338e+17
13045208,1629235807,0x5989031c894c2777eb2756bdfbaa9222f91012e9bd056854ab06e21a31b980fe,150,0xed57053dd3a9058f4b8deae301311e6ed4c4f56631fd8b108aee07781e465fd8,22,0x1F93b58fb2cF33CfB68E73E94aD6dD7829b1586D,,0,5649395,50786222282,0,1,0xf5156f7fe971b13540144574ed625d9cd0433c62,5649395,transaction,2.869114302288194e+17
13046589,1629254182,0x96f29369cc918205887620dbfe7eb7c2f06e4f042950487f7e50987b64be8a34,151,0x67297da91301d592dc9ab6dc68383f5dd12114fd5833ed4f001256d5068b9925,226,0x1F93b58fb2cF33CfB68E73E94aD6dD7829b1586D,0xe1aafdb0b523574452f4102b0f40e1d00a6c2de7,0,114411,35000000000,0,1,,76274,transaction,2669590000000000.0
13046628,1629254599,0x0be453427339d481a328152126b11b6a788e27ddf9bfe99ebb0b864fe8c861bd,152,0x1602af04645826e348ea112e39bc71e8e6269faac55d8715cda705ca504cdb68,279,0x1F93b58fb2cF33CfB68E73E94aD6dD7829b1586D,0x35f1cd22ab921a6846e7114656ae1d00c7a74a32,0,119296,35000000000,0,1,,78698,transaction,2754430000000000.0
13046666,1629255126,0x998148b9cd9f52f196eaa83e9f6d514122b6a916db7d0a1de166b2656d589d18,153,0xe0d84083a5d6de8d8405c1fc4c4c220140373bda227ab73846a10d3b13a18256,77,0x1F93b58fb2cF33CfB68E73E94aD6dD7829b1586D,0xfa00d65f0873059d2858f1cf7e9a0822754418dd,0,77760,44000000000,0,1,,47040,transaction,2069760000000000.0
13046670,1629255216,0x533bdd412df5a7e4eb1a4dae535d0a50f88047d1e4f136557e374ef8aaa44099,154,0xb78ef2446f96daa7ec6d615b0c342752a461788ed64d2237228f9608f3484177,224,0x1F93b58fb2cF33CfB68E73E94aD6dD7829b1586D,0xfa00d65f0873059d2858f1cf7e9a0822754418dd,0,43074,43000000000,0,1,,28716,transaction,1234788000000000.0
13046697,1629255619,0x87b6bc7f5553c9e37f1e05ef0ae5791b9b4d4137f1c9d4737a3850ad079cfa7d,155,0x6848f6b0d21591e79143192e09bb2df8fe0fcc5c7feb8f766d2cfdcbd89437b9,260,0x1F93b58fb2cF33CfB68E73E94aD6dD7829b1586D,0x67130f180a0f1954bf7524e87035a2f8504c873c,0,99333,35558639410,0,1,,60691,transaction,2158089384432310.0
13046801,1629256902,0x7c6efc7fce3c1eaf3ec1570494eb9a7b00374d87815f0b4b79ec32b3d3ac666b,156,0x1842ecf8cde7ea4468426e5824a02f9b74a2f70112c68368f8b03ee860818c19,82,0x1F93b58fb2cF33CfB68E73E94aD6dD7829b1586D,0x67130f180a0f1954bf7524e87035a2f8504c873c,0,40605,31245902417,0,1,,27070,transaction,845826578428190.0
13046880,1629258028,0xccc43f45da485451bfe7f5a16e2c594de28482eccd63c3f7e5cb9650b6cb074e,157,0x68b482a1dfb0f367d7dc3d5285360df55a261ddbb15977e37adb6e0cb7959784,54,0x1F93b58fb2cF33CfB68E73E94aD6dD7829b1586D,0x5120feabd5c21883a4696dbcc5d123d6270637e9,0,74974,41000000000,0,1,,49609,transaction,2033969000000000.0
13046892,1629258188,0x03376cd0ee7573fc01e2c23e7bf01e122471fc09f9aff45ad9b15be69987b7a3,158,0xe7587123cc7703b26f78381244a1042caea03cea9b4b411d273c0d988b891767,72,0x1F93b58fb2cF33CfB68E73E94aD6dD7829b1586D,0x5120feabd5c21883a4696dbcc5d123d6270637e9,0,73467,41000000000,0,1,,48622,transaction,1993502000000000.0
13046895,1629258223,0x9b5aade4d2e03a4a216404497d9931e3107b51bca33439529781de1d50edb502,159,0xc0f51f934555188e4f4a8d7f47ffd6eb430d52d0f4690d81dec065cdecb08413,30,0x1F93b58fb2cF33CfB68E73E94aD6dD7829b1586D,0xdb25ca703181e7484a155dd612b06f57e12be5f0,0,48438,41000000000,0,1,,32191,transaction,1319831000000000.0
13046908,1629258374,0xc395945df1528498b48579535f703fcb6115cd960917dcc3f5d485347617b9a6,160,0x70a53b23bb292b0677c982ef10c23d2348d4ece77ab7f7839a197021b6e5b534,170,0x1F93b58fb2cF33CfB68E73E94aD6dD7829b1586D,0xdb25ca703181e7484a155dd612b06f57e12be5f0,0,74974,37000000000,0,1,,49609,transaction,1835533000000000.0
13046915,1629258469,0x4d7e81d28131a67bd4e1f0f996de92d59e36f395a651fab90c0a3a523b9c0d5d,161,0x68e20e40a8e027c93a1493112d9d04878453a045330b9b9558f3bcdd28f74c36,141,0x1F93b58fb2cF33CfB68E73E94aD6dD7829b1586D,0xdb25ca703181e7484a155dd612b06f57e12be5f0,0,47409,37000000000,0,1,,31522,transaction,1166314000000000.0
